postest curriculum teacher pretest
58 new A 50
63 new A 49
65 new A 53
56 new A 47
60 new A 53
50 old A 49
58 old A 51
52 old A 50
55 old A 47
57 old A 52
61 new B 47
71 new B 53
68 new B 52
58 new B 48
68 new B 51
47 old B 46
56 old B 51
63 old B 53
53 old B 48
52 old B 47
57 new A 49
61 new A 52
57 new A 50
67 new A 51
56 new A 46
62 old A 54
55 old A 48
63 old A 52
50 old A 46
58 old A 51
59 new B 49
65 new B 54
60 new B 46
65 new B 51
65 new B 49
62 old B 51
51 old B 49
54 old B 51
58 old B 50
54 old B 54
